65539	393225	1769499
7077969	26542323	95552217
334432395	1146624417	-425112349
14608041	-381307909	1875647473
1800754131	-1781335175	-1124994453
692115265	1392739779	2127401289
229749723	-588244079	-1302244685
1775695897	899541067	-1994082079
1414474403	663781353	-157646917
1670020913	-1445954157	2063890617
-372872661	662584961	-1258570877
-629788023	-1041524837	-581056815
1592415347	1899101529	1357838347
-354949087	-1465337757	-1302517463
1077967739	1010594417	656824147
-859437575	1816859115	1456223681
975544643	1337189321	-756765861
604570129	1848378931	1354175129
79574987	1174775649	2037511715
1652089449	164865851	-994708047
1137893651	-1400134855	-1461982805
-465650431	1774008067	1950000393
28897051	-196752047	-1440585741
1717188569	1793566603	-398330207
-1352211485	-233329751	-2114977029
-1999959823	-1554900269	80302201
1591013739	233428033	-33653565
1992193609	-628858149	-228054895
-3573325	2031054105	-666417333
-803154463	1178829219	1416463593
-2110681413	357542961	-333445997
-923595335	1754409259	1658944385
-1541049725	1593005961	1952646811
1673794513	1058880371	-120933799
-1665591541	-315210463	214159203
-173117911	1328827003	941088625
-2017943981	897374969	2070909163
54112961	-1133635517	1301104841
829479515	1856868113	-619074253
1048577945	-1021765941	1612072033
1688456483	-82942103	1486108219
1073193649	1654122515	265992249
-406247253	-536446463	437546499
-1136637431	2127158811	1517853265
-1447375117	-870093607	-784120181
-1168845919	44006115	-2101251927
-118664709	1019409905	-1405492781
-427776647	1492840555	-77868735
-1017875517	-1111467191	-1802890789
-814140015	-1543724877	-1935089127
-2011978165	1048965857	-1368205149
-470054423	903585211	1062066481
-1759868013	1357030073	-1788811221
-1471301503	-1318442621	1036090505
902657435	386097361	-1512365453
335832921	-1553582581	540910113
47834723	-286215383	2147162491
-1720955791	414573907	796176377
1045893099	-890228799	-1869508797
1089973705	1890584923	1533746193
777147443	-550896487	-1709771317
-1005592223	764453923	752151657
1927791931	502419377	-1450709229
-341127879	-1875286101	408368897
-2147048189	622259977	1582157083
-402364591	526267891	-1811045927
1577182603	-7294815	-1353510429
534525353	-1791123205	1622401777
84715731	-1208419719	576974699
1452723777	-771396925	-523026359
-490553125	1763918481	2113587123
1101223705	469960011	1498681313
467480483	-2093314327	412658875
-159054287	-373288301	-808241223
-1489852629	-1664944767	-875962237
1138794889	1831527579	740011473
